nohup: ignoring input
epoca: 3.21, loss: 2.1332802772521973, tiempo: 1635.5844264030457
epoca: 3.22, loss: 2.5976507663726807, tiempo: 1653.9723658561707
epoca: 3.23, loss: 2.041067123413086, tiempo: 1672.3670868873596
epoca: 3.24, loss: 3.242137908935547, tiempo: 1690.7828166484833
epoca: 3.25, loss: 2.536267042160034, tiempo: 1709.1416203975677
epoca: 3.26, loss: 2.219832420349121, tiempo: 1727.6830749511719
epoca: 3.27, loss: 2.1704373359680176, tiempo: 1746.0668964385986
epoca: 3.28, loss: 4.5134100914001465, tiempo: 1764.4787936210632
epoca: 3.29, loss: 4.076231479644775, tiempo: 1782.864228963852
epoca: 3.30, loss: 3.0812947750091553, tiempo: 1801.2267260551453
epoca: 3.31, loss: 2.469757080078125, tiempo: 1819.6051859855652
epoca: 3.32, loss: 5.068206787109375, tiempo: 1838.0361559391022
epoca: 3.33, loss: 2.186615467071533, tiempo: 1856.5245344638824
epoca: 3.34, loss: 1.8666709661483765, tiempo: 1874.9014868736267
epoca: 4.1, loss: 2.6836659908294678, tiempo: 1893.271687746048
epoca: 4.2, loss: 2.3639919757843018, tiempo: 1911.7312407493591
epoca: 4.3, loss: 3.321722984313965, tiempo: 1930.250411748886
epoca: 4.4, loss: 3.4856200218200684, tiempo: 1948.6593008041382
epoca: 4.5, loss: 6.870634078979492, tiempo: 1966.4243264198303
epoca: 4.6, loss: 3.9316015243530273, tiempo: 1983.8225393295288
epoca: 4.7, loss: 1.7011678218841553, tiempo: 2002.3896503448486
epoca: 4.8, loss: 3.823302745819092, tiempo: 2020.9476668834686
epoca: 4.9, loss: 3.2145862579345703, tiempo: 2039.4465374946594
epoca: 4.10, loss: 2.1664228439331055, tiempo: 2058.030394554138
epoca: 4.11, loss: 3.601670026779175, tiempo: 2076.6069309711456
epoca: 4.12, loss: 3.2342066764831543, tiempo: 2095.1858508586884
epoca: 4.13, loss: 6.265291213989258, tiempo: 2113.7447197437286
epoca: 4.14, loss: 2.766719341278076, tiempo: 2132.276166677475
epoca: 4.15, loss: 4.444833278656006, tiempo: 2150.8520424365997
epoca: 4.16, loss: 1.9098477363586426, tiempo: 2169.4007716178894
epoca: 4.17, loss: 2.7703375816345215, tiempo: 2187.838602542877
epoca: 4.18, loss: 2.6988067626953125, tiempo: 2206.165825843811
epoca: 4.19, loss: 2.767695903778076, tiempo: 2224.667505502701
epoca: 4.20, loss: 3.9066953659057617, tiempo: 2243.1582000255585
epoca: 4.21, loss: 2.8522369861602783, tiempo: 2261.934589624405
epoca: 4.22, loss: 1.6775859594345093, tiempo: 2280.4561908245087
epoca: 4.23, loss: 2.1488075256347656, tiempo: 2298.899946451187
epoca: 4.24, loss: 1.5548622608184814, tiempo: 2316.8360979557037
epoca: 4.25, loss: 2.019474983215332, tiempo: 2335.3941733837128
epoca: 4.26, loss: 3.1384873390197754, tiempo: 2353.936008453369
epoca: 4.27, loss: 2.4287893772125244, tiempo: 2372.414974927902
epoca: 4.28, loss: 2.482022762298584, tiempo: 2390.957891225815
epoca: 4.29, loss: 2.6627564430236816, tiempo: 2409.5086159706116
epoca: 4.30, loss: 2.408377170562744, tiempo: 2428.047926902771
epoca: 4.31, loss: 2.195326805114746, tiempo: 2446.565178871155
epoca: 4.32, loss: 5.422262191772461, tiempo: 2465.0712552070618
epoca: 4.33, loss: 3.4073336124420166, tiempo: 2483.626752614975
epoca: 4.34, loss: 3.6661109924316406, tiempo: 2501.8516738414764
epoca: 5.1, loss: 1.4727375507354736, tiempo: 2521.1770148277283
epoca: 5.2, loss: 4.498591423034668, tiempo: 2539.673508644104
epoca: 5.3, loss: 2.5982284545898438, tiempo: 2558.0528547763824
epoca: 5.4, loss: 3.544401168823242, tiempo: 2575.895403146744
epoca: 5.5, loss: 2.475823402404785, tiempo: 2593.688541173935
epoca: 5.6, loss: 4.740634918212891, tiempo: 2611.5972380638123
epoca: 5.7, loss: 6.975147247314453, tiempo: 2630.117987394333
epoca: 5.8, loss: 3.8082807064056396, tiempo: 2648.6555898189545
epoca: 5.9, loss: 3.8732738494873047, tiempo: 2667.2056391239166
epoca: 5.10, loss: 2.5460686683654785, tiempo: 2685.7565257549286
epoca: 5.11, loss: 2.4310762882232666, tiempo: 2704.3433725833893
epoca: 5.12, loss: 1.6783528327941895, tiempo: 2722.8416068553925
epoca: 5.13, loss: 3.663745403289795, tiempo: 2741.365338087082
epoca: 5.14, loss: 5.133885383605957, tiempo: 2759.940040588379
epoca: 5.15, loss: 1.805297613143921, tiempo: 2778.2898650169373
epoca: 5.16, loss: 2.8609626293182373, tiempo: 2796.6113028526306
epoca: 5.17, loss: 2.8768515586853027, tiempo: 2815.155059337616
epoca: 5.18, loss: 2.178086280822754, tiempo: 2833.5934290885925
epoca: 5.19, loss: 2.895984172821045, tiempo: 2852.04194188118
epoca: 5.20, loss: 7.113687992095947, tiempo: 2870.5855424404144
epoca: 5.21, loss: 3.398167133331299, tiempo: 2889.0620238780975
epoca: 5.22, loss: 2.417011260986328, tiempo: 2907.5116577148438
epoca: 5.23, loss: 2.9266648292541504, tiempo: 2925.874997854233
epoca: 5.24, loss: 3.603834390640259, tiempo: 2944.3553915023804
epoca: 5.25, loss: 3.323394775390625, tiempo: 2962.8528134822845
epoca: 5.26, loss: 1.1554136276245117, tiempo: 2981.361886739731
epoca: 5.27, loss: 1.6100223064422607, tiempo: 2999.8993651866913
epoca: 5.28, loss: 2.9540886878967285, tiempo: 3018.431073665619
epoca: 5.29, loss: 1.5139961242675781, tiempo: 3036.838613510132
epoca: 5.30, loss: 3.7684359550476074, tiempo: 3055.3027667999268
epoca: 5.31, loss: 3.680485486984253, tiempo: 3073.7746016979218
epoca: 5.32, loss: 1.9946331977844238, tiempo: 3092.345956802368
epoca: 5.33, loss: 2.2658965587615967, tiempo: 3110.6685729026794
epoca: 5.34, loss: 3.7033095359802246, tiempo: 3129.1322700977325
epoca: 6.1, loss: 2.530031204223633, tiempo: 3148.3371908664703
epoca: 6.2, loss: 2.6425042152404785, tiempo: 3165.94428896904
epoca: 6.3, loss: 2.9994852542877197, tiempo: 3183.510595560074
epoca: 6.4, loss: 2.5374715328216553, tiempo: 3201.362603664398
epoca: 6.5, loss: 3.45261549949646, tiempo: 3218.972727060318
epoca: 6.6, loss: 0.9662994146347046, tiempo: 3236.762677669525
epoca: 6.7, loss: 2.0724027156829834, tiempo: 3254.6452085971832
epoca: 6.8, loss: 2.1321520805358887, tiempo: 3273.1791031360626
epoca: 6.9, loss: 3.3214683532714844, tiempo: 3291.562920331955
epoca: 6.10, loss: 4.199901103973389, tiempo: 3309.3658452033997
epoca: 6.11, loss: 2.1328113079071045, tiempo: 3327.2732605934143
epoca: 6.12, loss: 2.743411064147949, tiempo: 3345.7468435764313
epoca: 6.13, loss: 2.631157398223877, tiempo: 3363.9277815818787
epoca: 6.14, loss: 3.4148902893066406, tiempo: 3382.055303812027
epoca: 6.15, loss: 5.923793792724609, tiempo: 3400.1621928215027
epoca: 6.16, loss: 3.2392821311950684, tiempo: 3418.760352373123
epoca: 6.17, loss: 2.6256918907165527, tiempo: 3437.281491756439
epoca: 6.18, loss: 2.078700304031372, tiempo: 3455.879442214966
epoca: 6.19, loss: 3.382119655609131, tiempo: 3474.413764476776
epoca: 6.20, loss: 1.9545460939407349, tiempo: 3492.8930583000183
epoca: 6.21, loss: 2.27292537689209, tiempo: 3511.2320058345795
epoca: 6.22, loss: 2.927593469619751, tiempo: 3529.7063133716583
epoca: 6.23, loss: 2.929765462875366, tiempo: 3548.1385385990143
epoca: 6.24, loss: 3.1421873569488525, tiempo: 3566.652925014496
epoca: 6.25, loss: 6.064917087554932, tiempo: 3585.1362750530243
epoca: 6.26, loss: 3.189370632171631, tiempo: 3603.6110937595367
epoca: 6.27, loss: 2.7254018783569336, tiempo: 3622.0466487407684
epoca: 6.28, loss: 3.3262670040130615, tiempo: 3639.972546339035
epoca: 6.29, loss: 1.926815390586853, tiempo: 3658.2782394886017
epoca: 6.30, loss: 4.256738662719727, tiempo: 3676.7882494926453
epoca: 6.31, loss: 5.48956298828125, tiempo: 3695.306239128113
epoca: 6.32, loss: 1.374559760093689, tiempo: 3714.021162033081
epoca: 6.33, loss: 5.1021270751953125, tiempo: 3732.686821937561
epoca: 6.34, loss: 3.6960384845733643, tiempo: 3751.2759354114532
epoca: 7.1, loss: 1.7484893798828125, tiempo: 3769.649323940277
epoca: 7.2, loss: 3.4485275745391846, tiempo: 3787.9406270980835
epoca: 7.3, loss: 2.7214560508728027, tiempo: 3806.426940202713
epoca: 7.4, loss: 1.9716392755508423, tiempo: 3824.934841156006
epoca: 7.5, loss: 3.1569161415100098, tiempo: 3843.4318232536316
epoca: 7.6, loss: 3.8406763076782227, tiempo: 3861.929453611374
epoca: 7.7, loss: 2.1706249713897705, tiempo: 3880.3322644233704
epoca: 7.8, loss: 2.2340667247772217, tiempo: 3898.282368659973
epoca: 7.9, loss: 6.812819480895996, tiempo: 3916.7264535427094
epoca: 7.10, loss: 2.7444753646850586, tiempo: 3935.02396440506
epoca: 7.11, loss: 2.628389835357666, tiempo: 3953.604970932007
epoca: 7.12, loss: 4.3091325759887695, tiempo: 3972.1790845394135
epoca: 7.13, loss: 2.5021181106567383, tiempo: 3990.58109331131
epoca: 7.14, loss: 2.4694361686706543, tiempo: 4009.0910346508026
epoca: 7.15, loss: 2.0179901123046875, tiempo: 4027.5255563259125
epoca: 7.16, loss: 4.611846923828125, tiempo: 4046.0263884067535
epoca: 7.17, loss: 5.490391254425049, tiempo: 4064.5346767902374
epoca: 7.18, loss: 2.523736000061035, tiempo: 4082.800374031067
epoca: 7.19, loss: 2.3195741176605225, tiempo: 4101.267536401749
epoca: 7.20, loss: 2.049748420715332, tiempo: 4119.916561126709
epoca: 7.21, loss: 2.775430202484131, tiempo: 4138.490141868591
epoca: 7.22, loss: 2.300541877746582, tiempo: 4156.998769521713
epoca: 7.23, loss: 3.399646759033203, tiempo: 4175.475574970245
epoca: 7.24, loss: 4.6155242919921875, tiempo: 4193.945568561554
epoca: 7.25, loss: 2.9192066192626953, tiempo: 4212.483456134796
epoca: 7.26, loss: 4.738196849822998, tiempo: 4230.989773511887
epoca: 7.27, loss: 2.761838436126709, tiempo: 4249.495829105377
epoca: 7.28, loss: 1.7712563276290894, tiempo: 4267.829549312592
epoca: 7.29, loss: 2.378415107727051, tiempo: 4286.251061201096
epoca: 7.30, loss: 3.7157082557678223, tiempo: 4304.4309186935425
epoca: 7.31, loss: 5.402544021606445, tiempo: 4322.911403179169
epoca: 7.32, loss: 2.343231201171875, tiempo: 4341.41540145874
epoca: 7.33, loss: 2.044290781021118, tiempo: 4359.829429626465
epoca: 7.34, loss: 2.7470130920410156, tiempo: 4378.386614561081
epoca: 8.1, loss: 1.5922569036483765, tiempo: 4396.6082673072815
epoca: 8.2, loss: 1.6508731842041016, tiempo: 4414.393086194992
epoca: 8.3, loss: 1.8873567581176758, tiempo: 4432.147518873215
epoca: 8.4, loss: 2.3076071739196777, tiempo: 4449.934736251831
epoca: 8.5, loss: 3.392731189727783, tiempo: 4467.783598423004
epoca: 8.6, loss: 3.31065034866333, tiempo: 4485.647141695023
epoca: 8.7, loss: 1.5982637405395508, tiempo: 4503.4140684604645
epoca: 8.8, loss: 1.9745808839797974, tiempo: 4521.3433792591095
epoca: 8.9, loss: 2.3421294689178467, tiempo: 4540.0571501255035
epoca: 8.10, loss: 1.85951828956604, tiempo: 4558.657684803009
epoca: 8.11, loss: 1.7054853439331055, tiempo: 4577.091480016708
epoca: 8.12, loss: 2.5349340438842773, tiempo: 4594.944451808929
epoca: 8.13, loss: 2.1713459491729736, tiempo: 4613.59571480751
epoca: 8.14, loss: 4.91969633102417, tiempo: 4632.194571495056
epoca: 8.15, loss: 2.2672998905181885, tiempo: 4650.073518514633
epoca: 8.16, loss: 5.496553421020508, tiempo: 4668.581963777542
epoca: 8.17, loss: 2.670504093170166, tiempo: 4686.966522455215
epoca: 8.18, loss: 2.6093506813049316, tiempo: 4705.4028351306915
epoca: 8.19, loss: 1.636707067489624, tiempo: 4724.074508905411
epoca: 8.20, loss: 5.069393634796143, tiempo: 4742.610966682434
epoca: 8.21, loss: 4.739814758300781, tiempo: 4761.214537382126
epoca: 8.22, loss: 5.419192790985107, tiempo: 4779.801152467728
epoca: 8.23, loss: 3.0831518173217773, tiempo: 4797.988410234451
epoca: 8.24, loss: 2.5537269115448, tiempo: 4816.494112491608
epoca: 8.25, loss: 3.5649681091308594, tiempo: 4835.029353380203
epoca: 8.26, loss: 5.462057113647461, tiempo: 4853.454813480377
epoca: 8.27, loss: 4.64280366897583, tiempo: 4871.988483905792
epoca: 8.28, loss: 2.3840136528015137, tiempo: 4890.529446363449
epoca: 8.29, loss: 2.932344913482666, tiempo: 4908.849156141281
epoca: 8.30, loss: 3.4692375659942627, tiempo: 4927.375097036362
epoca: 8.31, loss: 3.628203868865967, tiempo: 4945.924926996231
epoca: 8.32, loss: 2.5256924629211426, tiempo: 4964.507655382156
epoca: 8.33, loss: 3.281954050064087, tiempo: 4983.073004722595
epoca: 8.34, loss: 6.143113613128662, tiempo: 5001.617932319641
epoca: 9.1, loss: 4.167577743530273, tiempo: 5019.85307765007
epoca: 9.2, loss: 3.8853759765625, tiempo: 5037.470635890961
epoca: 9.3, loss: 3.0665993690490723, tiempo: 5055.262742996216
epoca: 9.4, loss: 2.064330816268921, tiempo: 5073.196924448013
epoca: 9.5, loss: 2.5979952812194824, tiempo: 5091.6922862529755
epoca: 9.6, loss: 2.74833607673645, tiempo: 5110.150226831436
epoca: 9.7, loss: 3.2085776329040527, tiempo: 5127.962109088898
epoca: 9.8, loss: 2.3621981143951416, tiempo: 5145.818071603775
epoca: 9.9, loss: 4.4674272537231445, tiempo: 5164.369448423386
epoca: 9.10, loss: 2.4785218238830566, tiempo: 5182.9031772613525
epoca: 9.11, loss: 3.118680953979492, tiempo: 5201.412619829178
epoca: 9.12, loss: 2.3903746604919434, tiempo: 5219.9002475738525
epoca: 9.13, loss: 1.3615748882293701, tiempo: 5237.868563652039
epoca: 9.14, loss: 2.5683436393737793, tiempo: 5256.091036319733
epoca: 9.15, loss: 4.413125038146973, tiempo: 5274.635163784027
epoca: 9.16, loss: 2.0741047859191895, tiempo: 5293.193185091019
epoca: 9.17, loss: 3.4335548877716064, tiempo: 5311.943355560303
epoca: 9.18, loss: 1.9623498916625977, tiempo: 5330.481454133987
epoca: 9.19, loss: 2.3258204460144043, tiempo: 5348.976434707642
epoca: 9.20, loss: 2.1815195083618164, tiempo: 5367.473511695862
