nohup: ignoring input
epoca: 1.1, loss: 1411.42578125, tiempo: 17.72880530357361
epoca: 1.2, loss: 1134.39404296875, tiempo: 35.49686551094055
epoca: 1.3, loss: 1414.747314453125, tiempo: 53.72712230682373
epoca: 1.4, loss: 1035.32373046875, tiempo: 72.16069388389587
epoca: 1.5, loss: 1315.1478271484375, tiempo: 91.34278392791748
epoca: 1.6, loss: 1314.648681640625, tiempo: 110.35140299797058
epoca: 1.7, loss: 1309.790771484375, tiempo: 129.65643739700317
epoca: 1.8, loss: 1196.191650390625, tiempo: 148.21234774589539
epoca: 1.9, loss: 1093.429931640625, tiempo: 166.66438746452332
epoca: 1.10, loss: 1133.56494140625, tiempo: 185.52379941940308
epoca: 1.11, loss: 1092.4012451171875, tiempo: 203.73984050750732
epoca: 1.12, loss: 1061.88427734375, tiempo: 221.95979571342468
epoca: 1.13, loss: 1229.8687744140625, tiempo: 240.33647799491882
epoca: 1.14, loss: 1128.549560546875, tiempo: 258.7311313152313
epoca: 1.15, loss: 1137.719482421875, tiempo: 277.0621166229248
epoca: 1.16, loss: 995.89013671875, tiempo: 295.37886476516724
epoca: 1.17, loss: 870.630615234375, tiempo: 313.705685377121
epoca: 1.18, loss: 1236.639404296875, tiempo: 332.0386817455292
epoca: 1.19, loss: 806.287353515625, tiempo: 350.3547556400299
epoca: 1.20, loss: 1084.5191650390625, tiempo: 368.6500370502472
epoca: 1.21, loss: 1028.373779296875, tiempo: 386.77926301956177
epoca: 1.22, loss: 973.3553466796875, tiempo: 405.1083984375
epoca: 1.23, loss: 1196.8375244140625, tiempo: 423.42322182655334
epoca: 1.24, loss: 1021.7227172851562, tiempo: 441.72040939331055
epoca: 1.25, loss: 950.4055786132812, tiempo: 460.0804281234741
epoca: 1.26, loss: 1022.06298828125, tiempo: 478.26129937171936
epoca: 1.27, loss: 930.582275390625, tiempo: 496.62067890167236
epoca: 1.28, loss: 939.1986083984375, tiempo: 514.9581825733185
epoca: 1.29, loss: 1003.4373779296875, tiempo: 532.9653930664062
epoca: 1.30, loss: 926.9010009765625, tiempo: 551.2612752914429
epoca: 1.31, loss: 1013.531494140625, tiempo: 569.4348456859589
epoca: 1.32, loss: 1006.3311767578125, tiempo: 587.8146798610687
epoca: 1.33, loss: 1111.092529296875, tiempo: 606.0678339004517
epoca: 1.34, loss: 1045.990234375, tiempo: 623.1362054347992
epoca: 2.1, loss: 842.0164794921875, tiempo: 641.5688383579254
epoca: 2.2, loss: 824.0015258789062, tiempo: 660.0694875717163
epoca: 2.3, loss: 992.9139404296875, tiempo: 677.6513984203339
epoca: 2.4, loss: 749.1053466796875, tiempo: 696.0058715343475
epoca: 2.5, loss: 811.9263916015625, tiempo: 714.3648154735565
epoca: 2.6, loss: 893.00390625, tiempo: 732.5255365371704
epoca: 2.7, loss: 997.7025756835938, tiempo: 750.0534036159515
epoca: 2.8, loss: 811.9249267578125, tiempo: 767.4011704921722
epoca: 2.9, loss: 1138.34765625, tiempo: 785.6982843875885
epoca: 2.10, loss: 880.6947631835938, tiempo: 804.0179378986359
epoca: 2.11, loss: 740.3927001953125, tiempo: 822.3663563728333
epoca: 2.12, loss: 977.3026123046875, tiempo: 840.690797328949
epoca: 2.13, loss: 819.0343627929688, tiempo: 859.0117449760437
epoca: 2.14, loss: 943.4888305664062, tiempo: 877.0961585044861
epoca: 2.15, loss: 869.4361572265625, tiempo: 895.388046503067
epoca: 2.16, loss: 977.7637939453125, tiempo: 913.6439464092255
epoca: 2.17, loss: 727.0892333984375, tiempo: 931.8958129882812
epoca: 2.18, loss: 804.709716796875, tiempo: 949.6327776908875
epoca: 2.19, loss: 649.0726928710938, tiempo: 967.8699231147766
epoca: 2.20, loss: 742.805908203125, tiempo: 986.1322617530823
epoca: 2.21, loss: 715.4814453125, tiempo: 1004.4440007209778
epoca: 2.22, loss: 749.65185546875, tiempo: 1022.8681666851044
epoca: 2.23, loss: 704.911865234375, tiempo: 1041.1816828250885
epoca: 2.24, loss: 851.8450317382812, tiempo: 1059.3611958026886
epoca: 2.25, loss: 483.83929443359375, tiempo: 1077.59210896492
epoca: 2.26, loss: 674.2657470703125, tiempo: 1095.7856142520905
epoca: 2.27, loss: 745.1375732421875, tiempo: 1114.0989091396332
epoca: 2.28, loss: 989.707275390625, tiempo: 1132.4034640789032
epoca: 2.29, loss: 803.8067016601562, tiempo: 1150.4833302497864
epoca: 2.30, loss: 601.952392578125, tiempo: 1168.7398467063904
epoca: 2.31, loss: 656.7747802734375, tiempo: 1187.0454320907593
epoca: 2.32, loss: 763.8448486328125, tiempo: 1205.4055528640747
