nohup: ignoring input
epoca: 3.29, loss: 439.6715393066406, tiempo: 1665.2979364395142
epoca: 3.30, loss: 424.6855163574219, tiempo: 1683.4178547859192
epoca: 3.31, loss: 522.4569091796875, tiempo: 1701.5463268756866
Epoca 3 - error: 476.6115998298891
epoca: 4.1, loss: 426.370849609375, tiempo: 1719.9849977493286
epoca: 4.2, loss: 535.4871215820312, tiempo: 1737.4882860183716
epoca: 4.3, loss: 507.9798583984375, tiempo: 1755.8847727775574
epoca: 4.4, loss: 516.8623046875, tiempo: 1774.0035200119019
epoca: 4.5, loss: 440.25555419921875, tiempo: 1792.4085037708282
epoca: 4.6, loss: 385.9378662109375, tiempo: 1810.8040227890015
epoca: 4.7, loss: 455.52532958984375, tiempo: 1829.1823613643646
epoca: 4.8, loss: 328.957275390625, tiempo: 1847.5501942634583
epoca: 4.9, loss: 565.4480590820312, tiempo: 1865.9403104782104
epoca: 4.10, loss: 497.03485107421875, tiempo: 1884.3580780029297
epoca: 4.11, loss: 361.4654846191406, tiempo: 1902.7477757930756
epoca: 4.12, loss: 372.23516845703125, tiempo: 1921.119453907013
epoca: 4.13, loss: 414.0740661621094, tiempo: 1938.7455475330353
epoca: 4.14, loss: 496.382080078125, tiempo: 1956.8733978271484
epoca: 4.15, loss: 518.7735595703125, tiempo: 1975.1965007781982
epoca: 4.16, loss: 364.2906188964844, tiempo: 1993.462980747223
epoca: 4.17, loss: 420.88726806640625, tiempo: 2011.717549085617
epoca: 4.18, loss: 426.06884765625, tiempo: 2030.0340662002563
epoca: 4.19, loss: 566.5738525390625, tiempo: 2048.339465856552
epoca: 4.20, loss: 336.3133239746094, tiempo: 2066.6607296466827
epoca: 4.21, loss: 520.82958984375, tiempo: 2084.9602768421173
epoca: 4.22, loss: 471.3594055175781, tiempo: 2102.954187631607
epoca: 4.23, loss: 459.495361328125, tiempo: 2121.276054620743
epoca: 4.24, loss: 657.9949951171875, tiempo: 2138.9451200962067
epoca: 4.25, loss: 553.7959594726562, tiempo: 2157.2832822799683
epoca: 4.26, loss: 458.2923583984375, tiempo: 2175.6025762557983
epoca: 4.27, loss: 388.8179626464844, tiempo: 2193.9106707572937
epoca: 4.28, loss: 316.11041259765625, tiempo: 2212.210734605789
epoca: 4.29, loss: 344.16351318359375, tiempo: 2230.5088517665863
epoca: 4.30, loss: 526.6529541015625, tiempo: 2248.760818004608
epoca: 4.31, loss: 404.5972595214844, tiempo: 2267.0457439422607
Epoca 4 - error: 452.87203585716986
epoca: 5.1, loss: 487.3235168457031, tiempo: 2286.2712438106537
epoca: 5.2, loss: 656.2744140625, tiempo: 2304.583030939102
epoca: 5.3, loss: 454.23199462890625, tiempo: 2322.279703140259
epoca: 5.4, loss: 451.7825927734375, tiempo: 2339.9904277324677
epoca: 5.5, loss: 543.806396484375, tiempo: 2357.5669112205505
epoca: 5.6, loss: 386.15777587890625, tiempo: 2375.0757393836975
epoca: 5.7, loss: 537.8955078125, tiempo: 2392.9865260124207
epoca: 5.8, loss: 466.18792724609375, tiempo: 2411.469165802002
epoca: 5.9, loss: 528.7862548828125, tiempo: 2429.074791431427
epoca: 5.10, loss: 361.137939453125, tiempo: 2447.4543273448944
epoca: 5.11, loss: 330.3643798828125, tiempo: 2465.836313724518
epoca: 5.12, loss: 463.6048278808594, tiempo: 2484.1896739006042
epoca: 5.13, loss: 524.8837890625, tiempo: 2502.5875630378723
epoca: 5.14, loss: 464.1829833984375, tiempo: 2521.0170423984528
epoca: 5.15, loss: 425.81915283203125, tiempo: 2539.205142021179
epoca: 5.16, loss: 347.99725341796875, tiempo: 2557.495594739914
epoca: 5.17, loss: 481.0963134765625, tiempo: 2575.89257144928
epoca: 5.18, loss: 329.30670166015625, tiempo: 2593.830069065094
epoca: 5.19, loss: 379.78350830078125, tiempo: 2612.285789012909
epoca: 5.20, loss: 449.6946105957031, tiempo: 2630.3869552612305
epoca: 5.21, loss: 425.2749938964844, tiempo: 2648.8065073490143
epoca: 5.22, loss: 334.9397277832031, tiempo: 2667.228823184967
epoca: 5.23, loss: 259.100830078125, tiempo: 2685.849216222763
epoca: 5.24, loss: 547.9401245117188, tiempo: 2704.4633877277374
epoca: 5.25, loss: 296.94805908203125, tiempo: 2722.7219092845917
epoca: 5.26, loss: 338.72503662109375, tiempo: 2741.0920717716217
epoca: 5.27, loss: 396.32110595703125, tiempo: 2759.475504875183
epoca: 5.28, loss: 469.1650085449219, tiempo: 2777.883027076721
epoca: 5.29, loss: 536.7216796875, tiempo: 2796.2917354106903
epoca: 5.30, loss: 458.24603271484375, tiempo: 2814.668637752533
epoca: 5.31, loss: 498.8531799316406, tiempo: 2833.0974040031433
Epoca 5 - error: 439.7597941737021
epoca: 6.1, loss: 375.7697448730469, tiempo: 2852.097907781601
epoca: 6.2, loss: 486.75506591796875, tiempo: 2869.8020091056824
epoca: 6.3, loss: 556.3658447265625, tiempo: 2887.5189385414124
epoca: 6.4, loss: 419.9325866699219, tiempo: 2905.280285358429
epoca: 6.5, loss: 243.47244262695312, tiempo: 2923.1250302791595
epoca: 6.6, loss: 460.5323486328125, tiempo: 2941.5664296150208
epoca: 6.7, loss: 472.50946044921875, tiempo: 2959.1999888420105
epoca: 6.8, loss: 490.9629821777344, tiempo: 2977.523368358612
epoca: 6.9, loss: 356.92401123046875, tiempo: 2995.3134014606476
epoca: 6.10, loss: 476.1776123046875, tiempo: 3012.5356171131134
epoca: 6.11, loss: 430.2642517089844, tiempo: 3030.9141874313354
epoca: 6.12, loss: 480.67230224609375, tiempo: 3049.2254695892334
epoca: 6.13, loss: 279.1302185058594, tiempo: 3067.6409471035004
epoca: 6.14, loss: 380.16497802734375, tiempo: 3086.070792913437
epoca: 6.15, loss: 346.52935791015625, tiempo: 3104.6802661418915
epoca: 6.16, loss: 420.81439208984375, tiempo: 3123.1358830928802
epoca: 6.17, loss: 460.36224365234375, tiempo: 3141.5436556339264
epoca: 6.18, loss: 541.228271484375, tiempo: 3159.9627776145935
epoca: 6.19, loss: 573.8012084960938, tiempo: 3177.8670089244843
epoca: 6.20, loss: 402.04150390625, tiempo: 3196.2559192180634
epoca: 6.21, loss: 425.67901611328125, tiempo: 3214.6770293712616
epoca: 6.22, loss: 353.00201416015625, tiempo: 3233.0721793174744
epoca: 6.23, loss: 348.895751953125, tiempo: 3251.472042322159
epoca: 6.24, loss: 517.630859375, tiempo: 3269.9685139656067
epoca: 6.25, loss: 325.3677978515625, tiempo: 3288.375556707382
epoca: 6.26, loss: 383.4530944824219, tiempo: 3306.94478058815
epoca: 6.27, loss: 517.509033203125, tiempo: 3326.371864795685
epoca: 6.28, loss: 513.108154296875, tiempo: 3344.788673877716
epoca: 6.29, loss: 463.1513671875, tiempo: 3363.1781933307648
epoca: 6.30, loss: 583.167724609375, tiempo: 3381.5686218738556
